Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025 +Older",grouptype,groupuid
-SIRVI SURGICALS - PUNE,SUSPENCE A/C,             500.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SIYA LIFECARE-ULWE- C/B-XX,SUSPENCE A/C,           16500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5500.00,           11000.00,Detai,2541934124
-SMART PHARMA - AKOLA -XX,SUSPENCE A/C,            3435.51,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3435.51,Detai,2541934124
-SOHAM PHARMACETICALS - PUNE,SUSPENCE A/C,             500.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SONALI DISTRIBUTORS-BOKARDAN-AKUMS,SUSPENCE A/C,           10047.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           10047.00,Detai,2541934124
-SPROUT PHARMA - KALYAN -XX,SUSPENCE A/C,           68259.46,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           68259.46,Detai,2541934124
-SR FARMALIFE - VASAI,SUSPENCE A/C,            1313.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1313.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SRIYA LIFESCIENCE - NERUL-XX,SUSPENCE A/C,            1500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1500.00,Detai,2541934124
-SRS PHARMA - CHIKHALI (EMCURE)-XX C/B,SUSPENCE A/C,           78258.58,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           78258.58,Detai,2541934124
-STAR PHARMA - KHAMGAON XX,SUSPENCE A/C,           10414.01,               0.00,               0.00,               0.00,            1000.00,             500.00,               0.00,               0.00,               0.00,            1858.01,               0.00,               0.00,            7056.00,Detai,2541934124
-STAR PHARMA-BHIWANDI (ALKEM ONLY)-LN,SUSPENCE A/C,           12616.34,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12616.34,Detai,2541934124
-STAR PHARMA-KARANJA-LAD,SUSPENCE A/C,            4534.61,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4534.61,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-STORE T/F                     .,SUSPENCE A/C,           45123.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           45123.00,Detai,2541934124
-SUCCESS PHARMA - BOISAR-LN,SUSPENCE A/C,           15706.58,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           15706.58,Detai,2541934124
-SUDARSHAN FIRST AID-SAMBHAJINAGAR-XX,SUSPENCE A/C,            4200.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4200.00,Detai,2541934124
-SUDARSHAN GENERIC HUB -SAMBHAJINAGAR,SUSPENCE A/C,            3282.90,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            3282.90,               0.00,               0.00,Detai,2541934124
-SURBHI MEDICAL-NAGPUR-XX,SUSPENCE A/C,           19689.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           19689.00,Detai,2541934124
-SURGI TECH - PUNE-LN-C/B,SUSPENCE A/C,         -119540.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,         -120040.00,Detai,2541934124
-SURGICAL SVR-YAVATMAL-(AKUMS),SUSPENCE A/C,           16800.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           16800.00,Detai,2541934124
-SUSHIL PHARMA LLP-ICHALKARNJI-WINDLAS,SUSPENCE A/C,           13838.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           13838.00,Detai,2541934124
-SUSPENCE A/C,SUSPENCE A/C,          626413.79,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          626413.79,Detai,2541934124
