Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025+Older",grouptype,groupuid
ANAGHA PHARMACEUTICALS-BHANDARA,           41793.00,           18732.00,               0.00,           23061.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2086610920
ANAND AGENCIES - CHIKHLI(BULDHANA),           40273.00,           20879.00,           14242.00,            5152.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1440933983
ANAND AGENCIES - PUNE,           14245.00,               0.00,            6103.00,            8142.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1546867815
ANAND DIST - CHALISGAON,           38726.00,           27515.00,            8476.00,            1735.00,               0.00,            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4098336246
ANAND MEDICAL - UMARDARI(MUKHED)-XX,           21965.20,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           21965.20,Group,456131991
ANAND MEDICAL - PIMPRI,           16348.00,          -25756.00,           32315.00,          -15927.00,           19048.00,            6668.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,378469006
ANANNYA AGENCIES - TALEGAON,           13750.09,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             493.09,               0.00,               0.00,               0.00,           13257.00,Group,678931363
ANANT MEDICARE - NERUL,          474002.00,               0.00,          186109.00,          109717.00,           56063.00,          112615.00,            9498.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,823952436
ANANTA HEALTHCARE-THANE PARTY-XX,           54227.77,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           54227.77,Group,2802018235
ANANYA MEDICAL STORE - UMARKHED,           21202.00,            7846.00,               0.00,           13356.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,693031226
ANGUS HEALTHCARE - VASHI,           46197.00,           32258.00,           13939.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2918129450
ANIKET PHARMA AND SURGICAL - AKLUJ,          101902.00,           24077.00,           52196.00,           24499.00,            1130.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3338816691
